PITCHER_ID,PITCHER_NAME,TEAM,STRIKEOUTS,WALKS_ALLOWED,HITS_ALLOWED,HOME_RUNS_ALLOWED,EARNED_RUNS,BATTERS_FACED,PITCH_COUNT,INNINGS,K_PER_9,BB_PER_9,HR_PER_9,ERA
682608,Peyton Gray,texas rangers,11,6,7,1,3,45,169,10.333333333333334,9.580645161290322,5.225806451612903,0.8709677419354839,2.6129032258064515
676467,Colton Gordon,houston astros,11,3,21,6,12,50,201,9.333333333333332,10.607142857142858,2.8928571428571432,5.7857142857142865,11.571428571428573
680744,Ty Madden,detroit tigers,11,2,7,1,2,35,129,8.333333333333334,11.879999999999999,2.1599999999999997,1.0799999999999998,2.1599999999999997
681343,Shane Smith,chicago white sox,11,9,12,1,10,49,225,8.333333333333332,11.880000000000003,9.72,1.08,10.8
701656,Logan Henderson,milwaukee brewers,11,1,6,0,4,30,111,8.0,12.375,1.125,0.0,4.5
605218,Carl Edwards Jr.,new york mets,11,4,3,1,1,25,99,6.0,16.5,6.0,1.5,1.5
453286,Max Scherzer,toronto blue jays,10,8,22,7,20,84,343,18.666666666666668,4.821428571428571,3.8571428571428568,3.375,9.642857142857142
664199,Taylor Clarke,arizona diamondbacks,10,2,11,1,5,67,244,17.666666666666668,5.094339622641509,1.0188679245283019,0.5094339622641509,2.5471698113207544
606996,Kyle Hart,san diego padres,10,6,12,0,10,68,259,16.666666666666668,5.3999999999999995,3.2399999999999998,0.0,5.3999999999999995
670167,John Schreiber,kansas city royals,10,9,13,2,6,68,273,16.333333333333332,5.510204081632653,4.959183673469388,1.1020408163265307,3.306122448979592
621112,Paul Blackburn,new york yankees,10,4,16,0,5,65,241,15.666666666666666,5.74468085106383,2.297872340425532,0.0,2.872340425531915
663855,Jordan Hicks,chicago white sox,10,12,18,1,7,72,256,15.0,6.0,7.2,0.6,4.2
621366,Ryan Borucki,san francisco giants,10,4,17,2,7,58,216,13.333333333333332,6.750000000000001,2.7,1.35,4.7250000000000005
677161,Zack Kelly,boston red sox,10,4,11,1,5,54,205,13.333333333333332,6.750000000000001,2.7,0.675,3.3750000000000004
669438,Mason Englert,tampa bay rays,10,4,19,4,10,60,214,12.666666666666666,7.105263157894737,2.8421052631578947,2.8421052631578947,7.105263157894737
690925,Clayton Beeter,washington nationals,10,9,7,2,4,53,208,12.333333333333334,7.297297297297297,6.5675675675675675,1.4594594594594594,2.918918918918919
694918,Blade Tidwell,san francisco giants,10,3,10,1,4,47,182,12.0,7.5,2.25,0.75,3.0
608371,Lucas Sims,chicago white sox,10,7,9,1,5,46,171,10.0,9.0,6.3,0.9,4.5
445276,Kenley Jansen,detroit tigers,10,6,8,3,5,42,178,9.666666666666666,9.310344827586208,5.586206896551724,2.793103448275862,4.655172413793104
679775,Kyle Backhus,philadelphia phillies,10,1,11,2,5,41,161,9.666666666666666,9.310344827586208,0.9310344827586208,1.8620689655172415,4.655172413793104
702303,Riley Martin,chicago cubs,10,2,5,1,2,31,118,8.333333333333334,10.799999999999999,2.1599999999999997,1.0799999999999998,2.1599999999999997
674841,Andrew Alvarez,washington nationals,10,1,5,1,2,30,118,8.333333333333332,10.8,1.08,1.08,2.16
669371,Cole Henry,washington nationals,10,5,11,3,8,41,170,8.0,11.25,5.625,3.375,9.0
543037,Gerrit Cole,new york yankees,10,0,4,0,0,23,79,6.666666666666667,13.5,0.0,0.0,0.0
621242,Edwin Díaz,los angeles dodgers,10,5,9,1,7,33,132,6.0,15.0,7.5,1.5,10.5
661563,Luis Gil,new york yankees,9,11,15,6,13,85,337,19.333333333333332,4.189655172413794,5.120689655172414,2.793103448275862,6.051724137931035
623437,Justin Topa,minnesota twins,9,7,22,3,11,74,281,16.0,5.0625,3.9375,1.6875,6.1875
672335,Cionel Pérez,washington nationals,9,11,16,2,11,73,295,16.0,5.0625,6.1875,1.125,6.1875
544150,Albert Suárez,baltimore orioles,9,9,11,3,6,66,257,15.666666666666666,5.170212765957447,5.170212765957447,1.723404255319149,3.446808510638298
687064,Brandon Young,baltimore orioles,9,5,19,3,10,68,241,14.666666666666668,5.5227272727272725,3.068181818181818,1.8409090909090908,6.136363636363636
682120,Tim Herrin,cleveland guardians,9,9,9,0,3,56,238,12.0,6.75,6.75,0.0,2.25
701719,Tyler Samaniego,boston red sox,9,5,9,0,0,48,170,12.0,6.75,3.75,0.0,0.0
668984,Casey Legumina,seattle mariners,9,3,15,0,6,53,207,11.666666666666666,6.942857142857143,2.3142857142857145,0.0,4.628571428571429
686560,Gavin Collyer,texas rangers,9,8,6,1,3,47,194,11.0,7.363636363636363,6.545454545454546,0.8181818181818182,2.4545454545454546
680742,Jonathan Bowlan,philadelphia phillies,9,4,11,0,8,46,206,10.333333333333332,7.838709677419356,3.483870967741936,0.0,6.967741935483872
681810,Austin Warren,new york mets,9,2,9,1,3,42,160,10.333333333333332,7.838709677419356,1.741935483870968,0.870967741935484,2.612903225806452
615698,Cal Quantrill,texas rangers,9,4,9,1,5,40,178,10.0,8.1,3.6,0.9,4.5
