DATE,PITCHER_ID,PITCHER_NAME,TEAM,OPP,INNINGS,STRIKEOUTS,PITCH_COUNT,SOURCE_SEASON,DATA_SOURCE,CURRENT_SEASON_GAMES
2026-04-21,694738,Landen Roupp,,Los Angeles Dodgers,5.0,7,106,2026,API_2026,11
2026-04-26,694738,Landen Roupp,,Miami Marlins,7.2,6,103,2026,API_2026,11
2026-05-02,694738,Landen Roupp,,Tampa Bay Rays,4.1,6,88,2026,API_2026,11
2026-05-09,694738,Landen Roupp,,Pittsburgh Pirates,4.0,8,94,2026,API_2026,11
2026-05-14,694738,Landen Roupp,,Los Angeles Dodgers,5.1,7,105,2026,API_2026,11
2026-05-19,694738,Landen Roupp,,Arizona Diamondbacks,6.0,3,91,2026,API_2026,11
2026-05-25,694738,Landen Roupp,,Arizona Diamondbacks,5.0,7,93,2026,API_2026,11
2026-03-28,700241,Michael McGreevy,,Tampa Bay Rays,6.0,5,96,2026,API_2026,11
2026-04-03,700241,Michael McGreevy,,Detroit Tigers,4.2,4,75,2026,API_2026,11
2026-04-08,700241,Michael McGreevy,,Washington Nationals,6.0,1,91,2026,API_2026,11
2026-04-14,700241,Michael McGreevy,,Cleveland Guardians,5.0,2,87,2026,API_2026,11
2026-04-20,700241,Michael McGreevy,,Miami Marlins,5.2,3,80,2026,API_2026,11
2026-04-26,700241,Michael McGreevy,,Seattle Mariners,6.0,6,98,2026,API_2026,11
2026-05-02,700241,Michael McGreevy,,Los Angeles Dodgers,6.0,3,88,2026,API_2026,11
2026-05-08,700241,Michael McGreevy,,San Diego Padres,6.0,9,94,2026,API_2026,11
2026-05-14,700241,Michael McGreevy,,Athletics,6.0,3,74,2026,API_2026,11
2026-05-20,700241,Michael McGreevy,,Pittsburgh Pirates,5.0,1,91,2026,API_2026,11
2026-05-26,700241,Michael McGreevy,,Milwaukee Brewers,4.0,6,89,2026,API_2026,11
